Rank   RootDomain   LinkingRootDomains   ExternalLinks   mozRank
1   Facebook.com   13,960,075   2,147,483,647   9.67
2   Twitter.com   9,882,877   2,147,483,647   9.67
3   Google.com   9,635,974   2,147,483,647   9.48
4   Youtube.com   5,358,727   2,027,026,599   9.24
5   Wordpress.org   3,549,383   323,714,578   9.07
6   Linkedin.com   3,372,272   1,006,723,037   9.03
7   Instagram.com   2,404,961   1,208,555,312   9.01
8   Wikipedia.org   2,205,696   273,877,952   8.74
9   Pinterest.com   2,197,101   968,179,449   8.83
10   Adobe.com   1,889,414   240,650,559   9.00
11   Blogspot.com   1,849,346   1,042,376,654   8.53
12   Hugedomains.com   1,633,463   30,241,135   8.31
13   Wordpress.com   1,620,116   301,381,838   8.61
14   Sedo.com   1,468,552   127,651,085   8.68
15   Apple.com   1,460,560   338,399,927   8.85
16   Sedoparking.com   1,434,265   35,436,406   8.66
17   Tumblr.com   1,257,236   1,153,715,773   8.53
18   Amazon.com   1,152,263   288,474,852   8.50
19   Yahoo.com   1,050,786   179,449,198   8.44
20   Vimeo.com   1,048,762   120,997,693   8.51
21   Youtu.be   1,037,827   79,382,116   8.49
